,DA,DC,DG,DT
GLY  ,0.7025,0.048333333,0.2245,-0.004666667
ALA  ,1.20025,0.640666667,0.907,0.372333333
SER  ,0.279,-0.131666667,0.0035,-0.542333333
CYS  ,1.18275,1.102666667,1.293,0.460666667
VAL  ,1.18175,0.874,1.30975,0.607666667
THR  ,0.3055,-0.212666667,0.07775,-0.691333333
ILE  ,1.16025,0.870666667,1.02125,0.823333333
PRO  ,0.897,0.837333333,0.90725,0.286333333
MET  ,0.94975,0.212,0.74025,0.431
ASP  ,1.32725,0.154333333,0.625,1.317
ASN  ,-0.33375,-0.478333333,-0.35425,-0.583666667
LEU  ,1.86075,1.365,1.669,1.101333333
LYS  ,-0.154,-0.633666667,-0.65675,-0.542
GLU  ,1.8105,0.799333333,1.62075,1.314333333
GLN  ,0.04125,-0.346,-0.137,-0.051333333
ARG  ,-0.91875,-1.211,-1.36375,-1.326333333
HIS  ,0.2385,-0.389,-0.49975,-0.345666667
PHE  ,1.0455,0.601666667,0.60925,0.311666667
TYR  ,0.2855,-0.503333333,-0.15775,-0.400666667
TRP  ,0.795,-0.168,0.41875,0.113666667
