, A.IM,A.PP,A.PY , A.SU,DA,C.PP, C.PY ,C.SU,DC, G.IM, G.PP , G.PY,G.SU,DG,T.PP,T.PY ,T.SU,DT
GLY  ,1.781,-0.133,1.034,0.128,0.7025,-0.309,0.46,-0.006,0.048333333,1.035,-0.481,0.593,-0.249,0.2245,-0.133,0.315,-0.196,-0.004666667
ALA  ,1.976,0.618,1.401,0.806,1.20025,0.209,1.176,0.537,0.640666667,1.818,0.06,1.413,0.337,0.907,0.166,0.389,0.562,0.372333333
SER  ,0.848,-0.56,1.093,-0.265,0.279,-0.5,0.465,-0.36,-0.131666667,0.347,-0.733,0.839,-0.439,0.0035,-0.779,-0.424,-0.424,-0.542333333
CYS  ,1.804,0.705,1.111,1.111,1.18275,0.499,1.058,1.751,1.102666667,2.444,0.142,1.751,0.835,1.293,0.194,0.3,0.888,0.460666667
VAL  ,2.102,0.464,1.409,0.752,1.18175,0.529,1.43,0.663,0.874,2.609,-0.082,2.049,0.663,1.30975,0.219,0.647,0.957,0.607666667
THR  ,1.081,-0.589,1.02,-0.29,0.3055,-0.49,0.112,-0.26,-0.212666667,0.623,-0.763,1.093,-0.642,0.07775,-0.917,-0.395,-0.762,-0.691333333
ILE  ,1.663,0.299,2.115,0.564,1.16025,0.607,1.175,0.83,0.870666667,2.216,0.001,1.443,0.425,1.02125,0.299,1.288,0.883,0.823333333
PRO  ,1.712,0.439,0.824,0.613,0.897,0.139,1.813,0.56,0.837333333,1.408,0.204,1.813,0.204,0.90725,0.047,0.522,0.29,0.286333333
MET  ,1.482,0.923,0.923,0.471,0.94975,-0.128,0.513,0.251,0.212,1.717,0.331,0.87,0.043,0.74025,0.161,0.566,0.566,0.431
ASP  ,2.082,0.738,1.794,0.695,1.32725,0.183,0.014,0.266,0.154333333,1.336,-0.091,0.931,0.324,0.625,0.983,1.04,1.928,1.317
ASN  ,-0.152,-0.413,-0.461,-0.309,-0.33375,-0.544,-0.529,-0.362,-0.478333333,0.008,-0.617,-0.205,-0.603,-0.35425,-0.55,-0.709,-0.492,-0.583666667
LEU  ,3.11,1.164,1.931,1.238,1.86075,0.806,2.141,1.148,1.365,2.652,0.593,2.246,1.185,1.669,0.913,1.03,1.361,1.101333333
LYS  ,0.995,-0.961,0.079,-0.729,-0.154,-1.068,-0.225,-0.608,-0.633666667,-0.29,-1.105,-0.601,-0.631,-0.65675,-1.066,-0.004,-0.556,-0.542
GLU  ,2.441,1.188,2.153,1.46,1.8105,0.884,0.33,1.184,0.799333333,2.57,0.746,1.983,1.184,1.62075,1.054,1.141,1.748,1.314333333
GLN  ,0.355,-0.177,0.186,-0.199,0.04125,-0.479,-0.115,-0.444,-0.346,0.072,-0.273,-0.139,-0.208,-0.137,-0.241,-0.038,0.125,-0.051333333
ARG  ,-0.215,-1.064,-1.091,-1.305,-0.91875,-1.275,-1.299,-1.059,-1.211,-1.27,-1.457,-1.472,-1.256,-1.36375,-1.318,-1.356,-1.305,-1.326333333
HIS  ,0.942,-0.69,0.654,0.048,0.2385,-0.379,-0.44,-0.348,-0.389,-0.348,-0.785,-0.551,-0.315,-0.49975,-0.69,-0.228,-0.119,-0.345666667
PHE  ,1.701,0.212,1.567,0.702,1.0455,0.193,1.196,0.416,0.601666667,1.196,0.193,0.821,0.227,0.60925,-0.067,0.651,0.351,0.311666667
TYR  ,0.785,-0.477,1.191,-0.357,0.2855,-0.653,-0.273,-0.584,-0.503333333,0.263,-0.686,0.445,-0.653,-0.15775,-0.496,-0.268,-0.438,-0.400666667
TRP  ,1.553,-0.121,1.042,0.706,0.795,-0.733,0.52,-0.291,-0.168,0,-0.345,1.906,0.114,0.41875,-0.606,0.86,0.087,0.113666667
