ID,exp_ddg,exp_ddg_raw,vanilla_ave,vanilla_ave_raw,vanilla_err,1tanh_ave,1tanh_ave_raw,1tanh_err,1tanh_C5_ave,1tanh_C5_ave_raw,1tanh_C5_err,1tanh_P_CA Ave,1tanh_P_CA Err,IDEA_P_70gamma,IDEA_P_70gamma_n
1apl,3.22,-20.47,16.12154677,-16.12154677,0.196993667,17.25575014,-17.25575014,0.136582136,16.95166349,-16.95166349,0.217746346,17.25575014,0.136582136,-11.49711,33.209765
1j47,0,-23.69,20.2388673,-20.2388673,0.200818936,22.65933506,-22.65933506,0.218365156,22.01991858,-22.01991858,0.12246062,22.65933506,0.218365156,-27.947074,16.759801
1n3k,2.76,-20.93,25.01440622,-25.01440622,0.271312596,26.76236792,-26.76236792,0.140409324,26.60795198,-26.60795198,0.10506008,26.76236792,0.140409324,-20.11004,24.596835
1qrv,12.42,-11.27,8.46219916,-8.46219916,1.58188817,8.34797073,-8.34797073,1.282075647,7.4798517,-7.4798517,1.242803806,8.34797073,1.282075647,-8.131295,36.57558
2ezd,11.69,-12,21.13328428,-21.13328428,0.322092725,16.17735885,-16.17735885,0.142717932,16.26217366,-16.26217366,0.050524257,16.17735885,0.142717932,-22.936162,21.770713
2ezf,14.19,-9.5,13.73106907,-13.73106907,0.510148805,13.88981332,-13.88981332,0.409262992,14.25249543,-14.25249543,0.466951521,13.88981332,0.409262992,-19.396647,25.310228
2lef,0.23,-23.46,21.75313028,-21.75313028,0.62292309,23.45070671,-23.45070671,0.347554781,23.53525757,-23.53525757,0.360993738,23.45070671,0.347554781,-44.706875,0
3hdd,5.06,-18.63,15.82142416,-15.82142416,0.130549466,16.76719239,-16.76719239,0.184255822,16.69794121,-16.69794121,0.184426526,16.76719239,0.184255822,-14.390138,30.316737
9ant,4.14,-19.55,17.35823371,-17.35823371,0.297875074,18.8921598,-18.8921598,0.084496801,18.239082,-18.239082,0.274678375,18.8921598,0.084496801,-15.357267,29.349608
